City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,0.85,69,75,4.63,CA,1686621739
1,berezovyy,51.6667,135.7,21.84,47,19,2.35,RU,1686621739
2,galveston,29.3669,-94.9669,28.43,84,0,5.66,US,1686621739
3,bethel,41.3712,-73.414,20.05,88,100,3.6,US,1686621495
4,alta sierra,35.7291,-118.5495,17.84,53,98,3.01,US,1686621740
5,blackmans bay,-43.0167,147.3167,12.63,77,100,3.42,AU,1686621740
6,coahuayana de hidalgo,18.7,-103.6583,25.81,78,13,1.46,MX,1686621740
7,port-aux-francais,-49.35,70.2167,6.25,89,100,13.89,TF,1686621740
8,college,64.8569,-147.8028,18.18,44,75,2.06,US,1686621482
9,adamstown,-25.066,-130.1015,20.41,64,28,3.45,PN,1686621740
10,yellowknife,62.456,-114.3525,8.29,66,75,2.57,CA,1686621497
11,tucurui,-3.7661,-49.6725,25.96,81,100,1.46,BR,1686621740
12,waitangi,-43.9535,-176.5597,11.57,88,94,1.34,NZ,1686621740
13,praya,14.9215,-23.5087,25.3,73,0,5.14,CV,1686621740
14,edinburgh of the seven seas,-37.0676,-12.3116,15.1,90,100,8.37,SH,1686621741
15,raja,8.4596,25.678,20.87,96,50,2.15,SS,1686621741
16,tsiombe,-25.3,45.4833,17.09,96,13,2.73,MG,1686621741
17,goz beida,13.95,20.55,27.67,60,75,5.23,TD,1686621741
18,tsengel,49.4783,100.8894,19.08,62,98,3.83,MN,1686621741
19,stanley,54.868,-1.6985,11.61,90,40,1.03,GB,1686621569
20,alice springs,-23.7,133.8833,17.9,31,0,4.63,AU,1686621479
21,bac lieu,9.285,105.7244,30.31,66,98,4.86,VN,1686621741
22,hawaiian paradise park,19.5933,-154.9731,27.16,74,86,0.89,US,1686621741
23,xapuri,-10.6517,-68.5044,22.45,99,100,1.34,BR,1686621742
24,kenai,60.5544,-151.2583,9.52,74,40,2.06,US,1686621742
25,bilibino,68.0546,166.4372,8.78,88,100,7.1,RU,1686621742
26,west island,-12.1568,96.8225,26.99,83,40,8.8,CC,1686621742
27,fort st. john,56.2499,-120.8529,22.94,35,75,5.14,CA,1686621602
28,mahibadhoo,3.7833,72.9667,28.78,77,86,6.81,MV,1686621721
29,kushiro,42.975,144.3747,13.53,100,75,2.06,JP,1686621742
30,vicosa,-20.7539,-42.8819,20.68,60,100,0.44,BR,1686621742
31,carnarvon,-24.8667,113.6333,17.43,36,0,7.38,AU,1686621742
32,papao,-17.75,-149.55,28.82,69,5,9.02,PF,1686621743
33,tuy hoa,13.0833,109.3,29.9,63,99,5.5,VN,1686621619
34,longyearbyen,78.2186,15.6401,2.91,75,75,5.14,SJ,1686621707
35,kailua-kona,19.6406,-155.9956,27.38,87,92,1.79,US,1686621744
36,georgetown,5.4112,100.3354,30.96,73,20,4.12,MY,1686621744
37,las vegas,36.175,-115.1372,29.69,28,0,8.94,US,1686621244
38,port mathurin,-19.6833,63.4167,24.75,71,4,6.74,MU,1686621745
39,mandera,3.9366,41.867,24.3,52,13,6.63,KE,1686621745
40,lakewood,39.7047,-105.0814,14.3,85,97,0.89,US,1686621569
41,koulikoro,14.0,-7.75,25.94,71,94,8.2,ML,1686621745
42,constantia,44.1833,28.65,12.61,84,38,6.93,RO,1686621745
43,sitia,35.2,26.0986,22.21,81,17,3.06,GR,1686621745
44,bognor regis,50.7821,-0.6798,17.63,94,49,3.28,GB,1686621745
45,ushuaia,-54.8,-68.3,4.81,75,40,12.86,AR,1686621687
46,ad dabbah,18.05,30.95,33.97,16,76,3.56,SD,1686621746
47,thompson,55.7435,-97.8558,20.27,50,99,3.78,CA,1686621746
48,puerto natales,-51.7236,-72.4875,1.71,96,100,1.96,CL,1686621746
49,uturoa,-16.7333,-151.4333,27.27,69,25,6.94,PF,1686621746
50,muisne,0.6,-80.0333,26.1,89,90,2.75,EC,1686621746
51,grytviken,-54.2811,-36.5092,-2.61,85,94,4.04,GS,1686621747
52,nova sintra,14.8667,-24.7167,21.16,85,100,9.43,CV,1686621747
53,papatowai,-46.5619,169.4708,11.44,79,28,2.58,NZ,1686621747
54,flying fish cove,-10.4217,105.6791,26.82,83,40,6.17,CX,1686621747
55,worland,44.0169,-107.9554,18.67,86,100,1.54,US,1686621747
56,ariquemes,-9.9133,-63.0408,22.57,98,86,1.18,BR,1686621598
